Tract,Income,Population,Population Density,Unemployment (%),Under 18 Population,Under 5 Population,Non-White (%),School Enrollment,Non-Hispanic and Non-Black (%),Highschool Graduate (%),Poverty Rate (%),Owner Occupied,Renter Occupied,Owner Occupied (%),Renter Occupied (%)
100000,89239,6011,4010.1249711383243,3.8,99,42,36.483114290467476,97,62.5,20.8,16.6,434,2690,13.892445582586427,86.10755441741357
210100,56250,7363,27289.447614621527,0.0,0,0,59.052016840961564,47,17.800000000000004,39.1,0.0,4,42,8.695652173913043,91.30434782608695
210400,36217,4422,6313.910910465753,8.0,1257,437,39.23563998190864,760,9.099999999999998,25.0,34.6,648,915,41.45873320537428,58.54126679462573
210500,37323,5548,6678.67655947197,7.3,1580,562,38.518385003604905,1030,4.900000000000002,28.4,22.0,720,1064,40.35874439461883,59.64125560538116
210600,57750,5327,5913.06089066417,2.4,1304,197,22.789562605594142,1070,17.500000000000004,29.6,13.3,1492,611,70.94626723728008,29.053732762719925
210700,39047,2459,5629.858649291273,4.2,610,150,43.51362342415616,443,4.999999999999995,31.3,27.0,446,303,59.546061415220294,40.453938584779706
210800,32639,2466,1741.5233747330915,10.0,635,236,50.89213300892133,400,4.700000000000003,39.3,40.7,337,510,39.7874852420307,60.2125147579693
210900,33548,1320,2712.600818690053,9.1,270,53,85.53030303030303,202,6.5,37.7,13.3,312,252,55.319148936170215,44.680851063829785
211000,36736,1989,4601.901891782869,9.1,554,190,67.3202614379085,360,2.6999999999999957,32.8,33.7,350,357,49.504950495049506,50.495049504950494
211100,26166,5322,5772.220255964042,4.7,1130,173,49.00413378429162,604,2.799999999999997,35.7,39.3,659,1244,34.62953231739359,65.37046768260642
211200,21143,2211,3363.5524049649184,10.4,334,40,76.61691542288557,226,2.6000000000000085,36.3,37.0,382,630,37.74703557312253,62.25296442687747
211300,27014,5319,4996.058838461894,14.3,1362,288,83.07952622673434,1168,3.200000000000003,31.2,32.6,656,1449,31.163895486935868,68.83610451306413
211400,30368,3890,2696.0088085995812,9.5,1136,466,69.20308483290488,629,12.0,26.6,37.1,456,997,31.383344803854097,68.6166551961459
211500,32285,6547,2802.880299389503,6.9,1893,415,36.291431189857946,1373,1.7000000000000055,33.4,27.1,954,951,50.07874015748032,49.92125984251968
211600,31809,3068,6825.070805771641,3.9,829,300,59.485006518904825,484,4.799999999999994,35.1,28.5,487,673,41.98275862068965,58.01724137931035
211700,31367,4142,2413.275816436961,5.2,1009,363,59.97102848865282,730,5.600000000000001,52.4,32.2,595,863,40.80932784636489,59.19067215363511
