Fine Code,Fine Name,Fine Color,Total Movements,Number of POIs,Baseline Mean,Week 8 Z-score,Coarse Code
722,Food Services and Drinking Places,#9370db,15159865.0,11822,679.58,-22.18,72
721,Accommodation,#6a0dad,386027.0,768,16.03,4.13,72
443,Electronics and Appliance Stores ,#20b2aa,378130.0,902,16.87,-9.7,44
448,Clothing and Clothing Accessories Stores ,#afeeee,1035123.0,1913,43.48,-8.64,44
441,Motor Vehicle and Parts Dealers ,#008080,1146719.0,2464,52.52,-7.77,44
442,Furniture and Home Furnishings Stores ,#009688,429124.0,1083,20.04,-6.51,44
446,Health and Personal Care Stores ,#5f9ea0,1785168.0,1922,81.96,-4.89,44
445,Food and Beverage Stores ,#48d1cc,4143948.0,2748,198.59,-0.24,44
444,Building Material and Garden Equipment and Supplies Dealers ,#40e0d0,1139968.0,756,48.13,4.07,44
447,Gasoline Stations ,#66cccc,5006326.0,2648,212.06,8.89,44
453,Miscellaneous Store Retailers ,#a50021,1691636.0,2074,73.72,-18.11,45
451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores ",#9e1b32,1087537.0,879,49.83,-10.52,45
452,General Merchandise Stores ,#7b1113,5712898.0,754,273.82,-4.74,45
531,Real Estate,#ff1493,7219446.0,1879,332.61,-7.41,53
532,Rental and Leasing Services,#c71585,55785.0,488,2.57,-5.9,53
713,"Amusement, Gambling, and Recreation Industries",#00ff00,1599082.0,1761,72.62,-11.26,71
711,"Performing Arts, Spectator Sports, and Related Industries",#228b22,203976.0,118,8.22,-9.7,71
712,"Museums, Historical Sites, and Similar Institutions",#008000,1235036.0,1097,54.14,-4.18,71
621,Ambulatory Health Care Services,#1E90FF,1008980.0,6666,49.54,-34.49,62
624,Social Assistance,#87CEEB,525587.0,1578,26.59,-17.51,62
622,Hospitals,#00BFFF,564058.0,387,28.82,-13.73,62
623,Nursing and Residential Care Facilities,#ADD8E6,101186.0,435,4.83,-3.16,62
812,Personal and Laundry Services,#ffcc00,299609.0,4323,14.08,-9.23,81
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",#c9a00e,728856.0,4814,33.48,-4.36,81
811,Repair and Maintenance,#e1c16e,438921.0,3632,19.42,-2.53,81
6111,Elementary and Secondary Schools,#ffa07a,1248091.0,1372,68.42,-19.34,61
6116,Other Schools and Instruction,#ff6347,76542.0,763,3.87,-9.56,61
6113,"Colleges, Universities, and Professional Schools",#ff8c00,73180.0,128,4.17,-8.33,61
6115,Technical and Trade Schools ,#b7410e,8411.0,24,0.7,-6.51,61
6112,Junior Colleges,#ffdab9,49137.0,29,2.84,-5.8,61
6117,Educational Support Services,#ff7f50,6967.0,4,0.71,-1.23,61
