Tract,Number of POIs (All POIs),Number of POIs (61),Number of POIs (62),Number of POIs (621),Number of POIs (622),Number of POIs (623),Number of POIs (624),Number of POIs (00),Number of POIs (11),Number of POIs (21),Number of POIs (22),Number of POIs (23),Number of POIs (31),Number of POIs (32),Number of POIs (33),Number of POIs (42),Number of POIs (44),Number of POIs (45),Number of POIs (48),Number of POIs (49),Number of POIs (51),Number of POIs (52),Number of POIs (53),Number of POIs (54),Number of POIs (55),Number of POIs (56),Number of POIs (71),Number of POIs (72),Number of POIs (81),Number of POIs (92),Number of POIs (721),Number of POIs (722),Number of POIs (7211),Number of POIs (7212),Number of POIs (7213),Number of POIs (7223),Number of POIs (7224),Number of POIs (7225),Number of POIs (6111),Number of POIs (6112),Number of POIs (6113),Number of POIs (6114),Number of POIs (6115),Number of POIs (6116),Number of POIs (6117),Number of POIs (711),Number of POIs (712),Number of POIs (713),Number of POIs (531),Number of POIs (532),Number of POIs (533),Number of POIs (811),Number of POIs (812),Number of POIs (813),Number of POIs (814),Number of POIs (451),Number of POIs (452),Number of POIs (453),Number of POIs (454),Number of POIs (441),Number of POIs (442),Number of POIs (443),Number of POIs (444),Number of POIs (445),Number of POIs (446),Number of POIs (447),Number of POIs (448)
100000,849,17,45,29,5,0,11,0,0,0,0,8,4,13,4,3,65,34,17,7,16,34,20,17,10,1,52,393,64,24,35,358,35,0,0,8,71,279,6,0,5,0,0,6,0,7,31,14,15,5,0,8,31,25,0,10,1,23,0,7,3,6,2,19,9,7,12
210100,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,0,0,0,0,1,0,0,0,6,7,5,0,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,3,0,3,0,0,0,0,0,1,0,0,0
210400,67,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,15,3,1,1,3,5,2,2,0,0,1,11,14,0,1,10,1,0,0,0,3,7,1,0,0,0,0,0,0,0,1,0,1,1,0,6,6,2,0,0,1,2,0,3,1,1,1,6,2,0,1
210500,83,3,5,3,0,0,2,0,0,0,0,0,1,1,0,0,16,3,2,0,2,3,0,1,0,0,6,21,18,1,1,20,1,0,0,0,1,19,3,0,0,0,0,0,0,0,3,3,0,0,0,6,2,10,0,1,0,2,0,6,0,0,1,3,2,4,0
210600,64,1,5,3,0,0,2,0,0,0,0,1,0,0,0,0,16,1,2,1,1,5,1,1,0,0,1,13,14,1,0,13,0,0,0,1,2,10,1,0,0,0,0,0,0,0,1,0,1,0,0,6,2,6,0,0,0,1,0,1,0,2,0,6,1,6,0
210700,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,1,1,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,9,0,0,1,0,0,0,0,0,0,3,0,0,0
210800,55,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,13,0,1,3,1,2,0,0,1,0,1,5,22,0,0,5,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,6,3,13,0,0,0,0,0,2,0,2,0,4,0,5,0
210900,21,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,3,0,0,0
211000,24,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,14,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,0,0,1,0,0,0,0,1,0,1,0,1,0
211100,31,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,2,3,13,0,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,1,0,0,2,0,1,0,5,0,1,0
